px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
91.7754	21.0977	1.24052	-0.50829	0.00501574	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	1.7359
92.875	20.8721	1.14887	-0.254571	0.121636	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.60902
92.9298	20.8931	1.1555	-0.229791	0.12768	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.41691
93.6531	20.2896	0.983586	-0.496231	-0.0522439	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	6.36482
93.6772	20.3005	1.00298	-0.475777	-0.0390403	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.236681
95.0642	19.7213	1.32515	-0.394354	0.0294203	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	9.52777
94.9609	19.6816	1.25229	-0.49916	-0.0358418	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	3.54966
95.7009	19.5611	0.939722	-0.337692	0.0427553	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	8.3138
95.6875	19.5569	0.93284	-0.346243	0.0383661	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0701684
96.356	19.1744	0.842199	-0.441684	-0.0222174	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.22797
96.3802	19.1811	0.859306	-0.42344	-0.0115998	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.231103
97.3977	18.7594	1.02274	-0.391347	0.0114312	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.42815
97.4014	18.7592	1.025	-0.389843	0.0122074	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0462169
98.2457	18.3712	0.98556	-0.414044	-0.00403152	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.171139
98.2584	18.3727	0.986491	-0.413956	-0.00686288	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.209017
99.0448	17.4705	1.06037	-0.857918	-0.194639	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	3.18272
99.0591	17.503	1.0784	-0.775103	-0.132483	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.44486
99.9461	16.9416	1.07007	-0.657472	-0.020769	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.10218
100.025	16.9628	1.09954	-0.592079	0.012794	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.26614
101.127	16.5187	1.14983	-0.37395	0.105622	101.204	16.5368	101.065	16.497	0.991362	-0.513687	1.12192
101.122	16.518	1.1394	-0.384222	0.0968077	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.0990776
102.325	16.365	1.17754	-0.076819	0.191525	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.979863
102.267	16.3528	1.13194	-0.110562	0.17284	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.23528
103.127	15.5051	1.03219	-0.616527	-0.129466	103.003	15.353	103.119	15.4967	1.11708	-0.508169	8.55619
103.089	15.5215	1.03237	-0.574191	-0.092104	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.5184
104.065	15.2101	1.0387	-0.392489	0.0312436	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.36604
104.059	15.2098	1.06175	-0.372788	0.0496815	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.34604
105.358	14.5344	1.32519	-0.463688	-0.0113804	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	5.89275
105.349	14.5357	1.32695	-0.45634	-0.00336251	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.220514
106.734	14.0537	1.42851	-0.324074	0.0610254	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.37783
106.707	14.0491	1.42656	-0.326641	0.0650948	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.858567
